4,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
164,0,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,1,圭,○,1,c,193,,0,0,Deuce,1,0
165,1,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,1,圭,×,1,c,177,,15,0,Ad,0,1
166,2,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,1,圭,○,1,b,177,,15,15,Deuce,1,0
167,3,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,1,圭,○,1,c,,,30,15,Ad,1,0
168,4,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,1,圭,×,2,w,140,,40,15,Deuce,0,1
169,5,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,1,圭,○,1,w,156,,40,30,Ad,1,0
170,12,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,2,学,×,1,c,189,,0,0,Deuce,0,1
171,13,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,2,学,×,1,w,172,,0,15,Ad,0,1
172,14,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,2,学,○,1,c,167,,0,30,Deuce,1,0
173,15,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,2,学,×,1,w,,,15,30,Ad,0,1
174,16,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,2,学,×,2,w,,,15,40,Deuce,0,1
175,28,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,3,圭,○,1,w,,,0,0,Deuce,1,0
176,29,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,3,圭,○,2,b,154,,15,0,Ad,1,0
177,30,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,3,圭,○,1,w,170,,30,0,Deuce,1,0
178,31,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,3,圭,○,1,w,168,,40,0,Ad,1,0
179,47,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,4,学,×,1,c,168,,0,0,Deuce,0,1
180,48,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,4,学,○,1,c,,,0,15,Ad,1,0
181,49,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,4,学,○,1,w,146,,15,15,Deuce,1,0
182,50,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,4,学,○,1,w,168,,30,15,Ad,1,0
183,70,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,4,学,○,1,w,,,40,15,Deuce,1,0
184,71,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,5,圭,×,1,w,148,,0,0,Deuce,0,1
185,72,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,5,圭,×,1,w,,,0,15,Ad,0,1
186,73,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,5,圭,○,2,c,146,,0,30,Deuce,1,0
187,74,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,5,圭,×,1,w,159,,15,30,Ad,0,1
188,75,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,5,圭,○,1,b,,,15,40,Deuce,1,0
189,76,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,5,圭,○,2,c,143,,30,40,Ad,1,0
190,77,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,5,圭,×,1,c,,,40,40,Deuce,0,1
191,78,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,5,圭,×,2,w,,,40,Ad,Ad,0,1
192,107,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,6,学,○,1,w,,,0,0,Deuce,1,0
193,108,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,6,学,×,2,c,,,15,0,Ad,0,1
194,109,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,6,学,×,1,w,,,15,15,Deuce,0,1
195,110,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,6,学,○,2,w,136,,15,30,Ad,1,0
196,111,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,6,学,×,1,w,,,30,30,Deuce,0,1
197,112,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,6,学,×,2,w,133,,30,40,Ad,0,1
198,147,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,7,圭,×,1,b,,,0,0,Deuce,0,1
199,148,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,7,圭,○,2,w,,Dw,0,15,Ad,1,0
200,149,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,7,圭,○,1,w,181,,15,15,Deuce,1,0
201,150,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,7,圭,○,1,w,162,,30,15,Ad,1,0
202,151,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,7,圭,○,1,c,180,,40,15,Deuce,1,0
203,191,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,8,学,×,1,c,175,,0,0,Deuce,0,1
204,192,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,8,学,×,1,w,167,,0,15,Ad,0,1
205,193,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,8,学,○,1,w,160,,0,30,Deuce,1,0
206,194,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,8,学,×,1,w,,,15,30,Ad,0,1
207,195,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,8,学,○,2,w,140,,15,40,Deuce,1,0
208,196,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,8,学,○,1,w,149,,30,40,Ad,1,0
209,197,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,8,学,×,1,w,180,,40,40,Deuce,0,1
210,198,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,8,学,×,1,c,180,,40,Ad,Ad,0,1
211,246,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,9,圭,○,1,w,,,0,0,Deuce,1,0
212,247,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,9,圭,○,2,b,146,,15,0,Ad,1,0
213,248,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,9,圭,×,1,w,,,30,0,Deuce,0,1
214,249,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,9,圭,○,2,c,146,,30,15,Ad,1,0
215,250,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,9,圭,○,1,c,,,40,15,Deuce,1,0
216,303,201903インディアンウェルズ,エイドリアン・マナリノ,1.0,10,学,×,1,w,,,0,0,Deuce,0,1
