5,index,Tournament,OpponentPlayer,Set,TotalGame,Server,WinLose,FirstSecond,Cource,Speed,AceDbF,ScoreServer,ScoreReturner,Side,WonA,WonB
0,0,201908全米オープン,クラーン,1,0,1,蔵,×,2,×,,,0,0,Deuce,0,1
1,0,201908全米オープン,クラーン,1,0,1,蔵,×,1,c,196,,0,15,Ad,0,1
2,0,201908全米オープン,クラーン,1,0,2,圭,○,1,c,,,0,0,Deuce,1,0
3,0,201908全米オープン,クラーン,1,0,2,圭,○,2,w,143,,15,0,Ad,1,0
4,0,201908全米オープン,クラーン,1,0,2,圭,○,1,c,170,,30,0,Deuce,1,0
5,0,201908全米オープン,クラーン,1,0,2,圭,○,1,c,,,40,0,Ad,1,0
12,0,201908全米オープン,クラーン,1,0,3,蔵,○,1,w,,,0,0,Deuce,1,0
13,0,201908全米オープン,クラーン,1,0,3,蔵,×,1,c,,,15,0,Ad,0,1
14,0,201908全米オープン,クラーン,1,0,3,蔵,○,1,c,,,15,15,Deuce,1,0
24,0,201908全米オープン,クラーン,1,0,4,圭,○,1,w,,,0,0,Deuce,1,0
25,0,201908全米オープン,クラーン,1,0,4,圭,○,1,b,143,,15,0,Ad,1,0
26,0,201908全米オープン,クラーン,1,0,4,圭,○,1,c,178,,30,0,Deuce,1,0
39,0,201908全米オープン,クラーン,1,0,5,蔵,×,1,c,204,,0,0,Deuce,0,1
40,0,201908全米オープン,クラーン,1,0,5,蔵,×,1,w,209,,0,15,Ad,0,1
41,0,201908全米オープン,クラーン,1,0,5,蔵,×,1,w,,,0,30,Deuce,0,1
42,0,201908全米オープン,クラーン,1,0,5,蔵,×,2,c,173,,0,40,Ad,0,1
59,0,201908全米オープン,クラーン,1,0,6,圭,×,1,c,,,0,0,Deuce,0,1
60,0,201908全米オープン,クラーン,1,0,6,圭,○,2,w,146,,0,15,Ad,1,0
61,0,201908全米オープン,クラーン,1,0,6,圭,○,1,c,,,15,15,Deuce,1,0
62,0,201908全米オープン,クラーン,1,0,6,圭,×,2,b,138,,30,15,Ad,0,1
63,0,201908全米オープン,クラーン,1,0,6,圭,○,1,w,160,,30,30,Deuce,1,0
64,0,201908全米オープン,クラーン,1,0,6,圭,○,1,b,,,40,30,Ad,1,0
87,0,201908全米オープン,クラーン,1,0,7,蔵,×,1,w,168,,0,0,Deuce,0,1
88,0,201908全米オープン,クラーン,1,0,7,蔵,○,1,w,,,0,15,Ad,1,0
89,0,201908全米オープン,クラーン,1,0,7,蔵,○,2,w,157,,15,15,Deuce,1,0
90,0,201908全米オープン,クラーン,1,0,7,蔵,×,1,c,201,,30,15,Ad,0,1
91,0,201908全米オープン,クラーン,1,0,7,蔵,×,1,c,202,,30,30,Deuce,0,1
92,0,201908全米オープン,クラーン,1,0,7,蔵,○,1,w,,,30,40,Ad,1,0
93,0,201908全米オープン,クラーン,1,0,7,蔵,○,2,b,162,,40,40,Deuce,1,0
94,0,201908全米オープン,クラーン,1,0,7,蔵,○,1,w,,,Ad,40,Ad,1,0
125,0,201908全米オープン,クラーン,1,0,8,圭,×,1,c,,,0,0,Deuce,0,1
126,0,201908全米オープン,クラーン,1,0,8,圭,○,2,d,,,0,15,Ad,1,0
127,0,201908全米オープン,クラーン,1,0,8,圭,×,1,w,,,15,15,Deuce,0,1
128,0,201908全米オープン,クラーン,1,0,8,圭,○,2,c,143,,15,30,Ad,1,0
129,0,201908全米オープン,クラーン,1,0,8,圭,○,1,w,,,30,30,Deuce,1,0
130,0,201908全米オープン,クラーン,1,0,8,圭,○,2,d,,,40,30,Ad,1,0
0,0,201908全米オープン,クラーン,2,0,1,蔵,×,1,w,,,0,0,Deuce,0,1
1,0,201908全米オープン,クラーン,2,0,1,蔵,×,2,w,165,,0,15,Ad,0,1
2,0,201908全米オープン,クラーン,2,0,1,蔵,×,1,w,183,Aw,0,30,Deuce,0,1
3,0,201908全米オープン,クラーン,2,0,1,蔵,×,1,w,209,,0,40,Ad,0,1
8,0,201908全米オープン,クラーン,2,0,2,圭,○,1,c,,,0,0,Deuce,1,0
9,0,201908全米オープン,クラーン,2,0,2,圭,×,2,c,143,,15,0,Ad,0,1
10,0,201908全米オープン,クラーン,2,0,2,圭,○,1,w,,,15,15,Deuce,1,0
11,0,201908全米オープン,クラーン,2,0,2,圭,○,2,c,140,,30,15,Ad,1,0
12,0,201908全米オープン,クラーン,2,0,2,圭,○,1,w,154,,40,15,Deuce,1,0
22,0,201908全米オープン,クラーン,2,0,3,蔵,○,1,c,,,0,0,Deuce,1,0
23,0,201908全米オープン,クラーン,2,0,3,蔵,○,2,d,,,15,0,Ad,1,0
24,0,201908全米オープン,クラーン,2,0,3,蔵,○,1,w,,,30,0,Deuce,1,0
25,0,201908全米オープン,クラーン,2,0,3,蔵,×,2,c,175,,40,0,Ad,0,1
26,0,201908全米オープン,クラーン,2,0,3,蔵,×,1,c,,,40,15,Deuce,0,1
27,0,201908全米オープン,クラーン,2,0,3,蔵,×,2,c,177,,40,30,Ad,0,1
28,0,201908全米オープン,クラーン,2,0,3,蔵,○,1,w,188,,40,40,Deuce,1,0
29,0,201908全米オープン,クラーン,2,0,3,蔵,○,1,w,,,Ad,40,Ad,1,0
47,0,201908全米オープン,クラーン,2,0,4,圭,○,1,w,,,0,0,Deuce,1,0
48,0,201908全米オープン,クラーン,2,0,4,圭,○,2,c,146,,15,0,Ad,1,0
49,0,201908全米オープン,クラーン,2,0,4,圭,×,1,c,160,,30,0,Deuce,0,1
50,0,201908全米オープン,クラーン,2,0,4,圭,○,1,c,,,30,15,Ad,1,0
51,0,201908全米オープン,クラーン,2,0,4,圭,○,2,w,,,40,15,Deuce,1,0
74,0,201908全米オープン,クラーン,2,0,5,蔵,×,1,c,,,0,0,Deuce,0,1
75,0,201908全米オープン,クラーン,2,0,5,蔵,○,2,w,172,,0,15,Ad,1,0
76,0,201908全米オープン,クラーン,2,0,5,蔵,×,1,c,,,15,15,Deuce,0,1
77,0,201908全米オープン,クラーン,2,0,5,蔵,×,2,c,194,,15,30,Ad,0,1
78,0,201908全米オープン,クラーン,2,0,5,蔵,×,1,w,201,,15,40,Deuce,0,1
106,0,201908全米オープン,クラーン,2,0,6,圭,○,1,w,160,,0,0,Deuce,1,0
107,0,201908全米オープン,クラーン,2,0,6,圭,×,1,w,180,,15,0,Ad,0,1
108,0,201908全米オープン,クラーン,2,0,6,圭,○,1,w,,,15,15,Deuce,1,0
109,0,201908全米オープン,クラーン,2,0,6,圭,×,2,w,149,,30,15,Ad,0,1
110,0,201908全米オープン,クラーン,2,0,6,圭,○,1,c,175,,30,30,Deuce,1,0
111,0,201908全米オープン,クラーン,2,0,6,圭,×,1,w,151,,40,30,Ad,0,1
112,0,201908全米オープン,クラーン,2,0,6,圭,○,1,w,,,40,40,Deuce,1,0
113,0,201908全米オープン,クラーン,2,0,6,圭,○,2,c,131,,Ad,40,Ad,1,0
149,0,201908全米オープン,クラーン,2,0,7,蔵,×,1,c,197,,0,0,Deuce,0,1
150,0,201908全米オープン,クラーン,2,0,7,蔵,×,1,c,,Ac,0,15,Ad,0,1
151,0,201908全米オープン,クラーン,2,0,7,蔵,×,1,c,205,,0,30,Deuce,0,1
152,0,201908全米オープン,クラーン,2,0,7,蔵,×,1,c,197,Ac,0,40,Ad,0,1
192,0,201908全米オープン,クラーン,2,0,8,圭,×,1,w,159,,0,0,Deuce,0,1
193,0,201908全米オープン,クラーン,2,0,8,圭,×,1,w,,,0,15,Ad,0,1
194,0,201908全米オープン,クラーン,2,0,8,圭,×,2,w,133,,0,30,Deuce,0,1
195,0,201908全米オープン,クラーン,2,0,8,圭,○,1,c,,,0,40,Ad,1,0
196,0,201908全米オープン,クラーン,2,0,8,圭,○,2,w,148,,15,40,Deuce,1,0
197,0,201908全米オープン,クラーン,2,0,8,圭,×,1,w,177,,30,40,Ad,0,1
243,0,201908全米オープン,クラーン,2,0,9,蔵,○,1,c,,,0,0,Deuce,1,0
244,0,201908全米オープン,クラーン,2,0,9,蔵,×,2,w,,,15,0,Ad,0,1
245,0,201908全米オープン,クラーン,2,0,9,蔵,×,1,c,204,,15,15,Deuce,0,1
246,0,201908全米オープン,クラーン,2,0,9,蔵,×,1,c,201,Ac,15,30,Ad,0,1
247,0,201908全米オープン,クラーン,2,0,9,蔵,×,1,w,183,Aw,15,40,Deuce,0,1
298,0,201908全米オープン,クラーン,2,0,10,圭,×,1,w,,,0,0,Deuce,0,1
299,0,201908全米オープン,クラーン,2,0,10,圭,○,2,w,143,,0,15,Ad,1,0
300,0,201908全米オープン,クラーン,2,0,10,圭,×,1,c,168,,15,15,Deuce,0,1
301,0,201908全米オープン,クラーン,2,0,10,圭,×,1,w,157,,15,30,Ad,0,1
302,0,201908全米オープン,クラーン,2,0,10,圭,×,1,c,162,,15,40,Deuce,0,1
0,0,201908全米オープン,クラーン,3,0,1,蔵,×,1,c,201,,0,0,Deuce,0,1
1,0,201908全米オープン,クラーン,3,0,1,蔵,×,1,w,185,,0,15,Ad,0,1
2,0,201908全米オープン,クラーン,3,0,1,蔵,×,1,w,,,0,30,Deuce,0,1
3,0,201908全米オープン,クラーン,3,0,1,蔵,○,2,v,168,,0,40,Ad,1,0
4,0,201908全米オープン,クラーン,3,0,1,蔵,×,1,c,,,15,40,Deuce,0,1
10,0,201908全米オープン,クラーン,3,0,2,圭,×,1,w,,,0,0,Deuce,0,1
11,0,201908全米オープン,クラーン,3,0,2,圭,○,2,c,144,,0,15,Ad,1,0
12,0,201908全米オープン,クラーン,3,0,2,圭,○,1,b,,,15,15,Deuce,1,0
13,0,201908全米オープン,クラーン,3,0,2,圭,○,2,b,127,,30,15,Ad,1,0
14,0,201908全米オープン,クラーン,3,0,2,圭,×,1,c,180,,40,15,Deuce,0,1
15,0,201908全米オープン,クラーン,3,0,2,圭,○,1,w,160,,40,30,Ad,1,0
